Scout ID,Match Key,Team Number,Alliance,Driver Station,Preloaded Cargo,Auto Lower Hub,Auto Upper Hub,Auto Misses,Taxied,Auto Shooting Zones,Teleop Lower Hub,Teleop Upper Hub,Teleop Misses,Teleop Shooting Zones,Low Attempted,Mid Attempted,High Attempted,Traversal Attempted,Climb Time,Final Climb Type,How much do they play defense?,Defense Rating,How much were they playing through defense?,Counter Defense Rating,Driver Rating
Red,2,1,,,,1,Tarmac,,1,5,Elsewhere,,1,,,1,No Climb,,,,,,notes for auto,notes for teleop,notes for misc
pranav,qm3,1719,Red,2,1,,,,1,Tarmac,,1,5,Elsewhere,,1,,,1,No Climb,,,,,,notes for auto,notes for teleop,notes for misc
julia,2022week0_f1m1,frc5459,red,3,True,,1,1,2,,,Elsewhere;Launchpad;Opposing Fender,1,,1,Launchpad;Tarmac;Opposing Fender;Opposing Tarmac,True,,,,12,,1,,3,3,Low,
saraansh,2022week0_f1m1,frc5813,blue,1,True,,,1,,,,Opposing Tarmac;Opposing Fender,,2,1,Elsewhere;Opposing Tarmac;Tarmac,,,,,14,,0.75,4,5,,None,
zac,2022week0_f1m1,frc58,blue,2,True,,2,1,1,,True,Opposing Tarmac;Launchpad;Tarmac,2,2,1,Tarmac;Opposing Tarmac;Elsewhere;Launchpad,True,True,,,7,,,,1,4,Mid,
rehan,2022week0_f1m1,frc501,blue,3,True,,1,1,,,True,Terminal;Fender;Elsewhere,1,1,1,Elsewhere;Launchpad;Fender;Terminal,True,True,True,,3,0.5,,2,,1,High,
ryan,2022week0_f1m2,frc125,red,1,True,,3,1,2,,True,Launchpad;Elsewhere;Tarmac,3,,1,Fender;Terminal;Launchpad;Opposing Tarmac,,,,,6,0.25,0.75,3,1,,None,
ksam,2022week0_f1m2,frc238,red,2,True,,,2,1,,,Opposing Fender;Fender,,,2,Opposing Tarmac;Opposing Fender,,,,,9,1,,5,5,1,None,
paolo,qm3,1908,Blue,1,1,,,,1,Tarmac,1,2,,Fender;Opposing Tarmac,,1,,,1,Mid,,,,,,notes for auto,notes for teleop,notes for misc
Samuel,qm3,3939,Red,1,1,,,,,,,1,3,Tarmac;Launchpad;Terminal,1,,,,,No Climb,,,,3,3,notes for auto,notes for teleop,notes for misc
anil,qm3,2186,Blue,3,1,,1,,1,Tarmac,,,,,,,,,,No Climb,,,,,,notes for auto,notes for teleop,notes for misc
varun,qm3,2068,Red,3,1,,2,,1,,,3,4,Elsewhere,,1,,,2,Mid,,,,3,4,notes for auto,notes for teleop,notes for misc
paolo,qm4,5338,Blue,1,1,1,,,1,Fender,8,,,Fender;Opposing Fender,,,,,,No Climb,,,0.5,3,4,notes for auto,notes for teleop,notes for misc
pranav,qm4,2199,Red,2,1,1,,1,,Tarmac;Elsewhere,,,2,Tarmac,,1,1,,3,High,,,,,2,notes for auto,notes for teleop,notes for misc
varun,qm4,7770,Red,3,1,,1,1,1,Fender,,4,3,Tarmac,,1,,,5,Mid,,,0.25,3,2,notes for auto,notes for teleop,notes for misc
anil,qm4,614,Blue,3,,,1,2,1,Fender;Tarmac,6,1,2,Fender;Tarmac,,,,,,No Climb,,,,,3,notes for auto,notes for teleop,notes for misc
agneya,qm4,4472,Blue,2,1,,,2,1,Elsewhere,,5,,Elsewhere,,1,,1,5,Traversal,0.5,2,,2,2,notes for auto,notes for teleop,notes for misc
samuel,qm4,2377,Red,1,1,,,,1,,,5,2,Terminal;Elsewhere,,,,,,No Climb,,,,,3,notes for auto,notes for teleop,notes for misc
paolo,qm5,5724,Blue,1,1,,1,,1,Elsewhere,,8,2,Elsewhere,,1,,,1,Mid,,,0.25,3,3,notes for auto,notes for teleop,notes for misc
varun,qm5,8622,Red,3,1,,1,,1,Tarmac,,1,,Tarmac,,,,,,No Climb,0.25,2,0.75,3,2,notes for auto,notes for teleop,notes for misc
aarav,qm5,6802,Red,2,1,,1,1,,Fender,4,,1,Tarmac,1,,,,,No Climb,0.25,2,0.25,2,3,notes for auto,notes for teleop,notes for misc
samuel,qm5,5804,Red,1,1,,,1,1,,,3,3,Tarmac;Opposing Tarmac;Elsewhere,,1,1,1,6,Traversal,,,,,4,notes for auto,notes for teleop,notes for misc
agneya,qm5,1086,Blue,2,1,,,,1,,,3,1,Launchpad;Elsewhere,,1,,,2,Mid,,,0.25,2,2,notes for auto,notes for teleop,notes for misc
aarav,qm6,1731,Red,2,1,,1,2,,Terminal;Elsewhere,,6,1,Terminal;Elsewhere,1,1,1,1,5,Traversal,,3,,4,4,notes for auto,notes for teleop,notes for misc
paolo,qm6,1123,Blue,1,,1,,,1,Tarmac,10,,,Fender;Opposing Fender,,,,,,No Climb,,,,,,notes for auto,notes for teleop,notes for misc
agneya,qm6,4242,Blue,2,1,,1,1,1,,4,,,Fender;Opposing Fender,,1,1,,3,High,0.5,3,,,1,notes for auto,notes for teleop,notes for misc
varun,qm6,5549,Red,3,1,,1,,1,Tarmac,,6,,Tarmac;Elsewhere,,1,,,2,Mid,,,,,,notes for auto,notes for teleop,notes for misc
samuel,qm6,6326,Red,1,1,,,,1,,,2,3,Tarmac;Elsewhere,,,,,,No Climb,,,0.25,3,4,notes for auto,notes for teleop,notes for misc
veronica,qm6,5549,Red,3,1,,1,,1,Tarmac,,7,,Elsewhere,,1,,,1,Mid,,2,,2,3,notes for auto,notes for teleop,notes for misc
paolo,qm7,1262,Blue,1,1,,,1,1,Fender,2,1,4,Tarmac;Opposing Tarmac,,,,,,No Climb,,,,,,notes for auto,notes for teleop,notes for misc
