Scout ID,Match Key,Team Number,Alliance,Driver Station,Preloaded Cargo,Auto Lower Hub,Auto Upper Hub,Auto Misses,Taxied,Auto Shooting Zones,Teleop Lower Hub,Teleop Upper Hub,Teleop Misses,Teleop Shooting Zones,Low Attempted,Mid Attempted,High Attempted,Traversal Attempted,Climb Time,Final Climb Type,How much do they play defense?,Defense Rating,How much were they playing through defense?,Counter Defense Rating,Driver Rating
Chris,qm2,4421,Red,3,1,0,0,2,1,Elsewhere,0,0,3,Elsewhere,1,1,1,1,20,Traversal,.75,3,0.0,0,3,Damn they SUCKKKK,,
trevor,qm2,3512,Blue,3,0,0,0,0,,Fender;Opposing Fender;Tarmac,1,4,3,Tarmac;Elsewhere,0,1,1,1,20,Traversal,.25,2,.25,1,2,,,
sarah,qm2,2992,Blue,1,1,0,4,0,1,Fender;Tarmac;Elsewhere,0,15,6,Tarmac;Opposing Tarmac;Elsewhere,,1,1,,8,Mid,0.0,0,.75,3,3,,,
Jay,qm2,7153,Red,1,1,1,0,0,,,5,0,1,Fender;Opposing Fender,,,,1,22,Traversal,.75,5,.5,2,3,,,
shayaan,qm2,4213,Red,2,1,0,2,0,1,Elsewhere,1,9,4,Tarmac;Opposing Tarmac;Elsewhere,,1,1,1,20,Traversal,0.0,1,.75,4,3,,,
562753
shashwat,qm2,4926,Blue,2,,0,2,0,1,Elsewhere,0,7,3,Tarmac;Elsewhere,,1,,1,23,Traversal,.25,2,.25,3,5,,,
trevor,qm5,4499,Blue,3,1,0,2,1,1,Terminal;Elsewhere,0,15,2,Elsewhere,,1,1,1,15,Traversal,.25,3,.25,3,3,,,
shayaan,qm5,8739,Red,2,1,0,0,1,1,Elsewhere,0,2,1,Opposing Tarmac;Elsewhere,,,,,,No Climb,0.0,0,.5,2,2,,,
Chris,qm5,8822,Red,3,1,0,0,0,1,Elsewhere,0,0,0,,,,,,,No Climb,.75,0,0.0,0,1,,Theyre ass,Theyre ass
