Scout ID,Match Key,Team Number,Alliance,Driver Station,Preloaded Cargo,Auto Lower Hub,Auto Upper Hub,Auto Misses,Taxied,Auto Shooting Zones,Teleop Lower Hub,Teleop Upper Hub,Teleop Misses,Teleop Shooting Zones,Low Attempted,Mid Attempted,High Attempted,Traversal Attempted,Climb Time,Final Climb Type,How much do they play defense?,Defense Rating,How much were they playing through defense?,Counter Defense Rating,Driver Rating
sarah,qm1,1727,Blue,1,1,0,1,0,1,,0,15,1,Fender,,1,1,1,22,Traversal,0.0,0,0.0,0,3,,,
arav,qm1,2186,Red,1,1,0,0,1,1,Tarmac,0,1,5,Tarmac,,,,,,No Climb,0.0,0,0.0,0,1,,They are really slow and intake is really bad at being able to get balls.,
agneya,qm1,7770,Red,2,0,0,0,0,1,Fender,3,0,2,Fender;Tarmac,,1,1,1,11,Traversal,0.0,0,0.0,0,2,,,
saragha,qm1,8197,Blue,2,1,0,1,0,0,Fender,0,0,0,,,,,,,No Climb,.5,2,0.0,0,1,,,No shot
sydney,qm1,1727,Blue,3,0,0,0,0,1,,0,15,1,Fender,,,,1,24,Traversal,0.0,0,0.0,0,4,,,Got caught on the metal divider 
niyanth,qm1,1719,Red,3,1,0,0,0,1,,0,1,3,Fender;Tarmac;Elsewhere,,,,,,No Climb,0.0,,0.0,,2,Didn't intake any ball,Shooter problems
arav,qm2,4505,Red,1,1,0,0,0,1,Fender;Opposing Fender;Tarmac;Opposing Tarmac;Launchpad;Terminal;Elsewhere,0,0,2,Fender;Opposing Fender;Tarmac;Opposing Tarmac;Launchpad;Terminal;Elsewhere,0,0,0,0,0,No Climb,0.0,0,0.0,0,2, , ,Connection was lost
saragha,qm2,3748,Blue,2,1,1,0,0,1,Fender;Opposing Fender;Tarmac;Opposing Tarmac;Launchpad;Terminal;Elsewhere,0,0,0,Fender;Opposing Fender;Tarmac;Opposing Tarmac;Launchpad;Terminal;Elsewhere,0,0,0,0,0,No Climb,.5,3,0.0,0,3, , ,Very tipsy
sarah,qm2,1629,Blue,1,1,0,1,0,1,Fender;Opposing Fender;Tarmac;Opposing Tarmac;Launchpad;Terminal;Elsewhere,0,8,0,Fender;Opposing Fender;Tarmac;Opposing Tarmac;Launchpad;Terminal;Elsewhere,0,0,0,1,24,Traversal,0.0,0,0.0,0,2, , , 
eckart,qm2,4099,Red,3,1,0,1,3,1,Fender,0,4,6,Fender,,1,,,,Mid,0.0,,.25,1,4,,Shooter broke ,
